Country,Salary,YearsExperience,Names,Addresse
Rwanda,56758.6,9.4,Zoe Martinez,"46510 Joseph Summit Apt. 161, Lisaborough, MN 61660"
Senegal,75749.5,14.3,Amy Charles,"638 Diana Plains, Wrighthaven, VA 90277"
Kenya,52530.1,12.1,Jack Jones,"017 Short Manors, North John, NC 43360"
Kenya,26282.4,2.7,Christopher Sullivan,"Unit 3563 Box 3929, DPO AA 51688"
Rwanda,56335.0,11.1,Damon Moreno,"01589 Amanda Common, Lake Michaelmouth, KY 93830"
Canada,42299.6,7.9,Michelle Steele,"Unit 9843 Box 8819, DPO AE 49724"
Germany,30829.0,5.0,Jeffrey Stout,"01895 Mary Crossing, Seantown, AR 12635"
Canada,36898.2,4.9,Carly Harris,"1610 Brian Brooks Apt. 913, Lake Sarah, UT 12051"
Belgium,20969.2,1.9,Lucas Mitchell,"03726 Riley Roads, North Crystal, UT 14941"
France,30632.8,3.8,Brandon Hooper,"154 Chaney Turnpike, West Heatherland, OK 17119"
Congo,51723.0,11.5,Christian Marsh,"8775 Thompson Ferry Apt. 122, New Jessicastad, NM 72246"
Rwanda,41165.0,7.3,Adam Hanson,"03541 Sherry Park, South Heiditown, ID 20709"
Cameroon,58586.0,11.4,Alexandra Anderson,"476 Thomas Plains Apt. 688, North Ronaldland, MS 87582"
Rwanda,28509.7,4.1,Debra Cook,"74300 Boyd Manors, Katherineville, NE 83664"
USA,37272.8,5.2,Susan Reynolds,"2861 Collins Parkway Apt. 302, Mcmillanland, OK 11373"
Germany,19833.0,1.0,Barbara Cole,"24392 Reyes Ford Suite 894, Kemptown, KS 19558"
USA,25460.3,1.3,Vanessa Ortiz,"1790 Kristy Dale Suite 946, Catherineville, ND 76935"
Cameroon,35615.2,4.8,Taylor Hernandez,"335 Rodriguez Unions Suite 179, New Ashleyberg, DC 74995"
Germany,45757.8,8.2,Wendy Norris,"0036 Francis Field, Amandafort, OH 83573"
Germany,57761.3,13.9,Stacy Bryant,"0993 Fuller Gateway, North Lisaside, SC 65036"
France,46953.4,11.1,Nancy Archer,"2909 Smith Valleys, Johnbury, DC 63695"
Belgium,47415.1,8.7,Lisa Cole,"Unit 4561 Box 2244, DPO AP 19520"
France,56245.4,9.6,Ms. Wendy Nguyen MD,"90840 Seth Viaduct, Pughborough, OK 95943"
Cameroon,28707.6,2.7,Cheyenne Campbell,"880 Reyes Square, South Johnton, MO 62698"
Congo,52007.2,10.1,Theresa Kramer,"09000 Elizabeth Skyway Suite 039, New Richardmouth, SD 67080"
France,20976.0,0.9,Joshua Chung,"26946 Rowe Highway, Juliemouth, WV 21385"
Germany,64531.0,11.5,Catherine Anderson,"70617 Williams Springs Apt. 479, Brandonland, PA 05213"
Germany,71139.0,14.8,Melissa Tucker,"800 Williams Alley, South Amy, TN 29653"
Cameroon,78139.5,14.5,Lorraine Blackwell,"3611 Frey Vista, Port Tamaramouth, DE 13688"
Congo,70543.0,14.7,William Wolf,"1960 Franklin Crossroad Suite 989, North Ruth, NC 50011"
Cameroon,45173.0,8.3,Mrs. Tracy Morrison,"USNS Simpson, FPO AA 47687"
USA,56601.2,8.8,Crystal Martin,"10842 Sierra Hollow Suite 946, East Davidmouth, WI 23878"
Rwanda,44854.5,9.5,Randy Garcia,"53949 Felicia Streets Suite 705, Estradahaven, MO 17166"
Cameroon,31070.6,4.4,Christine Velez,"1029 Cook Fall, Lake Anthonyport, CA 47959"
Cameroon,33488.0,4.6,Maria Hudson,"53284 Martinez Port Apt. 643, Port Timothyburgh, WY 85410"
Senegal,51976.6,7.6,Mason Brown,"PSC 1991, Box 9970, APO AP 79118"
Rwanda,31703.5,6.5,Lindsay Meyer,"2947 Gregory Knoll Apt. 854, Mirandaside, ND 83966"
Canada,21138.3,1.7,Thomas Fry,"56743 Phillip Station, South Samuelmouth, FL 11436"
Rwanda,45734.0,7.0,Anthony Price,"270 King Ferry Suite 306, North Rebecca, MA 56736"
Senegal,33571.0,5.0,Mark Lyons,"40534 Miller Mountains, Chenfort, VT 37823"
Germany,30096.0,2.5,Russell Garcia,"PSC 5219, Box 3037, APO AP 47475"
Canada,37959.2,4.8,Patricia Owens,"Unit 2661 Box 0777, DPO AP 51683"
Rwanda,58080.1,13.9,Joshua Shields,"84093 Erika Fork Apt. 265, South Markside, IA 36268"
Canada,50459.0,11.2,Jason Edwards,"31150 Rodriguez Park Apt. 277, Melissaview, PA 21084"
Congo,49949.6,9.1,Michelle Taylor,"5827 Crystal Vista Suite 599, North Royside, MN 82211"
Belgium,29136.5,3.5,Zoe Wood,"770 Austin Via, Melindaport, WY 08150"
Belgium,54253.0,11.5,Christian Leach,"8141 Michael Meadows Apt. 539, Port Jennifer, CT 31081"
Germany,63919.8,10.8,James Brown,"PSC 2427, Box 2038, APO AA 03086"
Belgium,72431.2,12.3,Jeremiah Moore,"5521 Michael Turnpike, Stoneburgh, AL 31857"
USA,59171.0,10.0,Aaron Boyer,"PSC 7440, Box 3758, APO AP 03223"
Cameroon,60353.0,12.4,Frank Wright,"29716 Brown Park Suite 559, Lake Jasonberg, ME 77648"
Congo,83153.4,14.4,Jessica Brown,"19325 James Key, Ryanview, MS 98725"
Cameroon,17594.0,0.6,Jill Perry,"3616 Maria Landing Suite 056, Port Tracy, FL 63600"
